OTU	S6C2T1	S18C2T4	S2C0T0	S10C1T2	S11C2T2	S12C2T2	S15C1T4	S17C2T4	S19C3T4	S1C0T0	S20C3T4	S23C2T6	S25C3T6	S26C3T6	S30C2T8	S32C3T8	S8C3T1	S13C3T2	S14C3T2	S16C1T4	S21C1T6	S22C1T6	S24C2T6	S3C1T1	S4C1T1	S27C1T8	S28C1T8	S5C2T1	S29C2T8	S31C3T8	S7C3T1	S9C1T2
OTU98	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	2	2	0	0	0	2	0	0	2	2	0	0	0	0	0	0
OTU99	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2
OTU100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
OTU101	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU102	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU103	0	0	0	0	2	0	0	4	0	0	0	4	0	2	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0
OTU104	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU105	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
OTU107	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU108	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU109	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0
